"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,131,"LUX","Luxembourg",1,"Diekirch",1,"Clervaux","Canton","Canton",NA,NA
2,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch","Canton","Canton",NA,NA
3,131,"LUX","Luxembourg",1,"Diekirch",3,"Redange","Canton","Canton",NA,NA
4,131,"LUX","Luxembourg",1,"Diekirch",4,"Vianden","Canton","Canton",NA,NA
5,131,"LUX","Luxembourg",1,"Diekirch",5,"Wiltz","Canton","Canton",NA,NA
6,131,"LUX","Luxembourg",2,"Grevenmacher",6,"Echternach","Canton","Canton",NA,NA
7,131,"LUX","Luxembourg",2,"Grevenmacher",7,"Grevenmacher","Canton","Canton",NA,NA
8,131,"LUX","Luxembourg",2,"Grevenmacher",8,"Remich","Canton","Canton",NA,NA
9,131,"LUX","Luxembourg",3,"Luxembourg",9,"Capellen","Canton","Canton",NA,NA
10,131,"LUX","Luxembourg",3,"Luxembourg",10,"Esch-sur-Alzette","Canton","Canton",NA,"Esch"
11,131,"LUX","Luxembourg",3,"Luxembourg",11,"Luxembourg","Canton","Canton",NA,NA
12,131,"LUX","Luxembourg",3,"Luxembourg",12,"Mersch","Canton","Canton",NA,NA
